dist_m_grid,current_mA,voltage_mV,ax_x100,ay_x100,az_x100,amag_x100,imu_ax_g,imu_ay_g,imu_az_g,imu_total_g_reported,accel_total_g,imu_total_g,accel_total_m_s2,accel_dynamic_g,accel_dynamic_m_s2,imu_ax_m_s2,imu_ax_bias_m_s2,imu_ax_dynamic_m_s2,imu_ax_dynamic_smooth_m_s2,imu_ay_m_s2,imu_ay_bias_m_s2,imu_ay_dynamic_m_s2,imu_ay_dynamic_smooth_m_s2,imu_az_m_s2,imu_az_bias_m_s2,imu_az_dynamic_m_s2,imu_az_dynamic_smooth_m_s2,accel_longitudinal_raw_g,accel_longitudinal_m_s2,imu_forward_dynamic_m_s2,accel_longitudinal_smooth_m_s2,jerk_m_s3,accel_m_s2,accel_mag,lat,lon,elev,x,y,gps_dt_s,gps_dist_m,gps_cumdist_m,gps_speed_m_s_raw,gps_speed_m_s,gps_speed_kph,dt_s,dist_m,elev_diff_m,speed_m_s,speed_kph,gps_longitudinal_accel_raw_m_s2,gps_longitudinal_accel_m_s2,gps_longitudinal_accel_abs_m_s2,grade_raw_pct,grade_pct,uphill_grade_pct,downhill_grade_pct,power_w,energy_wh,energy_j,cum_energy_j,cum_energy_wh,efficiency_wh_per_km,timestamp_ms,time,gps_time
0.0,114.0,22680.0,-272.0,-210.0,1006.0,1064.0,-0.272,-0.21,1.006,1.064,1.063071023027154,1.063071023027154,10.42516544796924,0.06307102302715406,0.6185154479692403,-2.6674088,-2.549729,-0.11767979999999989,-0.04903324999999992,-2.0593964999999996,-2.0103632499999997,-0.04903324999999992,-0.04903324999999992,9.8654899,9.306510849999999,0.5589790500000014,0.09806649999999983,-0.272,-2.6674088,-0.04903324999999992,-0.04903324999999992,0.05527097423510465,10.42516544796924,1.063071023027154,39.792614,-86.23872,222.4,0.0,0.0,0.0,0.0,0.0,0.0,4.455176331752186,16.03863479430787,0.621,0.0,0.0,4.455176331752186,16.03863479430787,0.0,0.5473926644065461,0.5473926644065461,0.0,0.0,0.0,-0.0,2.5855200000000003,0.00044600220000000004,1.6056079200000002,3.08411712,0.0008566992000000001,0.050007975390707324,2203068.0,1775923974068000.0,1775923974000000.0
1.0,114.0,22680.0,-256.2879395140642,-213.815786118013,1003.1942749132257,1059.0619238472773,-0.2562879395140642,-0.21381578611801297,1.0031942749132257,1.0590619238472774,1.0581778292951252,1.0581778292951252,10.377179609657038,0.058177829295125126,0.5705296096570387,-2.5133261220355974,-2.5563325433413318,0.043006421305734094,-0.04793265944311133,-2.0968165789342117,-2.012564431113777,-0.08425214782043478,-0.05205987403144353,9.837975136077786,9.311463507505998,0.5265116285717879,0.09751620472155555,-0.2562879395140642,-2.5133261220355974,-0.04793265944311133,-0.04793265944311133,0.050851745115518966,10.377179609657038,1.0581778292951252,39.792622978320274,-86.23872067337402,222.4,-0.05759489061912,0.9924635234569105,0.1122290034709701,1.0,1.0,1.0,4.955176331752186,17.838634794307872,0.6205510839861161,1.0,0.0,4.955176331752186,17.838634794307872,0.5,0.5166759977897132,0.5166759977897132,0.0,0.0,0.0,0.0,2.5855200000000003,0.0004456797885188286,1.604447238667783,3.2631522154944803,0.000906431170970689,0.050038951091719575,2203137.2452951414,1775923974137245.2,1775923974112229.0
2.0,114.0,22680.0,-240.57587902812838,-217.63157223602596,1000.3885498264515,1054.1238476945546,-0.24057587902812838,-0.21763157223602597,1.0003885498264515,1.0541238476945547,1.0532846355630963,1.0532846355630963,10.329193771344837,0.053284635563096185,0.5225437713448372,-2.359243444071195,-2.562936086682663,0.20369264261146808,-0.04683206888622273,-2.1342366578684238,-2.014765612227554,-0.11947104564086962,-0.05508649806288714,9.810460372155571,9.316416165011995,0.4940442071435745,0.09696590944311127,-0.24057587902812838,-2.359243444071195,-0.04683206888622273,-0.04683206888622273,0.04643251599593329,10.329193771344837,1.0532846355630963,39.792631956640555,-86.23872134674804,222.4,-0.11518978123824,1.984927046913821,0.2244580069419402,2.0,2.0,2.0,5.455176331752186,19.638634794307873,0.6201021679722323,2.0,0.0,5.455176331752186,19.638634794307873,1.0,0.48595933117288026,0.48595933117288026,0.0,0.0,0.0,0.0,2.5855200000000003,0.00044535737703765724,1.6032865573355661,3.44218731098896,0.0009561631419413779,0.050069926792731825,2203206.490590283,1775923974206490.5,1775923974224458.0
3.0,114.0,22680.0,-224.86381854219255,-221.44735835403895,997.5828247396772,1049.1857715418319,-0.22486381854219256,-0.22144735835403895,0.9975828247396772,1.049185771541832,1.0483914418310674,1.0483914418310674,10.281207933032634,0.04839144183106725,0.4745579330326356,-2.2051607661067925,-2.5695396300239945,0.3643788639172021,-0.04573147832933414,-2.171656736802636,-2.0169667933413313,-0.15468994346130446,-0.05811312209433075,9.782945608233355,9.321368822517995,0.4615767857153611,0.09641561416466699,-0.22486381854219256,-2.2051607661067925,-0.04573147832933414,-0.04573147832933414,0.0420132868763476,10.281207933032634,1.0483914418310674,39.79264093496083,-86.23872202012207,222.4,-0.17278467185736002,2.9773905703707313,0.3366870104129103,3.0,3.0,3.0,5.955176331752186,21.438634794307873,0.6196532519583483,3.0,0.0,5.955176331752186,21.438634794307873,1.5,0.45524266455604734,0.45524266455604734,0.0,0.0,0.0,0.0,2.5855200000000003,0.0004450349655564858,1.602125876003349,3.62122240648344,0.0010058951129120668,0.05010090249374407,2203275.7358854245,1775923974275736.0,1775923974336687.0
4.0,114.0,22680.0,-209.15175805625674,-225.26314447205192,994.777099652903,1044.2476953891094,-0.20915175805625674,-0.22526314447205192,0.994777099652903,1.0442476953891093,1.0434982480990382,1.0434982480990382,10.233222094720434,0.04349824809903831,0.426572094720434,-2.0510780881423902,-2.576143173365326,0.525065085222936,-0.044630887772445546,-2.209076815736848,-2.0191679744551085,-0.18990884128173932,-0.06113974612577436,9.75543084431114,9.326321480023994,0.42910936428714763,0.0958653188862227,-0.20915175805625674,-2.0510780881423902,-0.044630887772445546,-0.044630887772445546,0.03759405775676192,10.233222094720434,1.0434982480990382,39.79264991328111,-86.23872269349609,222.4,-0.23037956247648,3.969854093827642,0.4489160138838804,4.0,4.0,4.0,6.455176331752186,23.23863479430787,0.6192043359444644,4.0,0.0,6.455176331752186,23.23863479430787,2.0,0.4245259979392144,0.4245259979392144,0.0,0.0,0.0,0.0,2.5855200000000003,0.00044471255407531443,1.600965194671132,3.8002575019779203,0.0010556270838827557,0.05013187819475632,2203344.9811805664,1775923974344981.2,1775923974448916.0
5.0,114.0,22680.0,-193.43969757032093,-229.0789305900649,991.9713745661287,1039.3096192363867,-0.19343969757032092,-0.2290789305900649,0.9919713745661287,1.0393096192363867,1.0386050543670093,1.0386050543670093,10.185236256408231,0.038605054367009374,0.37858625640823246,-1.8969954101779876,-2.582746716706658,0.68575130652867,-0.04353029721555696,-2.24649689467106,-2.0213691555688857,-0.22512773910217418,-0.06416637015721796,9.727916080388926,9.331274137529991,0.39664194285893417,0.09531502360777841,-0.19343969757032092,-1.8969954101779876,-0.04353029721555696,-0.04353029721555696,0.03317482863717624,10.185236256408231,1.0386050543670093,39.792658891601384,-86.2387233668701,222.4,-0.2879744530956,4.962317617284552,0.5611450173548506,5.0,5.0,5.0,6.955176331752186,25.03863479430787,0.6187554199305806,5.0,0.0,6.955176331752186,25.03863479430787,2.5,0.3938093313223815,0.3938093313223815,0.0,0.0,0.0,0.0,2.5855200000000003,0.000444390142594143,1.599804513338915,3.9792925974724005,0.0011053590548534445,0.05016285389576857,2203414.2264757077,1775923974414226.5,1775923974561145.0
6.0,114.0,22680.0,-177.7276370843851,-232.8947167080779,989.1656494793544,1034.371543083664,-0.17772763708438513,-0.2328947167080779,0.9891656494793545,1.034371543083664,1.0337118606349804,1.0337118606349804,10.13725041809603,0.03371186063498044,0.3306004180960309,-1.7429127322135851,-2.589350260047989,0.8464375278344041,-0.04242970665866837,-2.2839169736052716,-2.023570336682663,-0.260346636922609,-0.06719299418866158,9.700401316466712,9.33622679503599,0.36417452143072077,0.09476472832933414,-0.17772763708438513,-1.7429127322135851,-0.04242970665866837,-0.04242970665866837,0.028755599517590553,10.13725041809603,1.0337118606349804,39.792667869921665,-86.23872404024412,222.4,-0.34556934371472003,5.954781140741463,0.6733740208258207,6.0,6.0,6.0,7.455176331752186,26.838634794307872,0.6183065039166967,6.0,0.0,7.455176331752186,26.838634794307872,3.0,0.3630926647055486,0.3630926647055486,0.0,0.0,0.0,0.0,2.5855200000000003,0.0004440677311129716,1.5986438320066978,4.15832769296688,0.0011550910258241334,0.05019382959678082,2203483.4717708495,1775923974483471.8,1775923974673374.0
7.0,114.0,22680.0,-162.0155765984493,-236.71050282609087,986.3599243925802,1029.4334669309412,-0.1620155765984493,-0.23671050282609088,0.9863599243925802,1.0294334669309413,1.0288186669029515,1.0288186669029515,10.089264579783828,0.028818666902951498,0.2826145797838293,-1.5888300542491827,-2.5959538033893206,1.007123749140138,-0.04132911610177977,-2.3213370525394836,-2.02577151779644,-0.29556553474304387,-0.07021961822010518,9.672886552544497,9.34117945254199,0.33170710000250736,0.09421443305088985,-0.1620155765984493,-1.5888300542491827,-0.04132911610177977,-0.04132911610177977,0.02433637039800487,10.089264579783828,1.0288186669029515,39.79267684824194,-86.23872471361814,222.4,-0.40316423433384,6.947244664198373,0.7856030242967907,7.0,7.0,7.0,7.955176331752186,28.63863479430787,0.6178575879028129,7.0,0.0,7.955176331752186,28.63863479430787,3.5,0.33237599808871565,0.33237599808871565,0.0,0.0,0.0,0.0,2.5855200000000003,0.0004437453196318002,1.5974831506744809,4.337362788461361,0.0012048229967948224,0.05022480529779307,2203552.717065991,1775923974552717.0,1775923974785603.0
8.0,114.0,22680.0,-146.30351611251348,-240.52628894410387,983.5541993058059,1024.4953907782185,-0.1463035161125135,-0.24052628894410386,0.983554199305806,1.0244953907782186,1.0239254731709226,1.0239254731709226,10.041278741471627,0.023925473170922563,0.23462874147162777,-1.4347473762847802,-2.602557346730652,1.167809970445872,-0.04022852554489118,-2.3587571314736957,-2.0279726989102174,-0.3307844325634787,-0.0732462422515488,9.645371788622281,9.346132110047987,0.2992396785742939,0.09366413777244556,-0.1463035161125135,-1.4347473762847802,-0.04022852554489118,-0.04022852554489118,0.01991714127841919,10.041278741471627,1.0239254731709226,39.79268582656222,-86.23872538699217,222.4,-0.46075912495296,7.939708187655284,0.8978320277677608,8.0,8.0,8.0,8.455176331752186,30.438634794307873,0.6174086718889289,8.0,0.0,8.455176331752186,30.438634794307873,4.0,0.30165933147188273,0.30165933147188273,0.0,0.0,0.0,0.0,2.5855200000000003,0.0004434229081506288,1.5963224693422637,4.5163978839558405,0.0012545549677655111,0.050255780998805316,2203621.9623611327,1775923974621962.2,1775923974897832.0
9.0,112.01848765613276,22680.0,-377.9075617193362,-208.47310180021606,957.3344443792203,1050.2697375827556,-0.37790756171933615,-0.20847310180021605,0.9573344443792202,1.0502697375827554,1.0501355319062193,1.0501355319062193,10.298311613968126,0.05013553190621943,0.4916616139681267,-3.706007190134928,-2.6668648940809567,-1.039142296053971,-0.0489425990134927,-2.044422743769089,-2.010227273520239,-0.03419547024884983,-0.10301515049325334,9.38824382897148,9.30691877943928,0.08132504953219831,0.08764795584107635,-0.37790756171933615,-3.706007190134928,-0.0489425990134927,-0.0489425990134927,-0.015639219063732904,10.298311613968126,1.0501355319062193,39.79269480421304,-86.23872607395063,222.39907561719338,-0.519515916896013,8.932097709303706,1.0,8.917634231967712,9.0,8.917634231967712,8.910352663504373,32.07726958861574,0.6165823611681822,0.08964733649562716,-0.0009243828066384247,8.910352663504373,32.07726958861574,4.4139934477360425,0.27116633036598586,0.27116633036598586,-0.00953161138535845,0.0,0.0,0.0,2.5405793000410912,0.0004351395986869086,1.5665025552728709,6.260349689490353,0.0017389860248584316,0.050281428473321524,2204307.276559257,1775923975307276.5,1775923975009243.8
